Start to record CBF use ratio, in 2026.02.27 12: 18: 28

46:  7.3303%, max:  4.9896e-01, min:  0.0000e+00, mean:  7.3364e-03, non_zero_mean:  1.0201e-02, 50%:  2.3842e-06, 75%:  4.2208e-04, 90%:  1.7312e-03, 95%:  4.8740e-02, 99%:  1.8544e-01
47:  7.0007%, max:  5.0974e-01, min:  0.0000e+00, mean:  6.6304e-03, non_zero_mean:  9.4924e-03, 50%:  2.1085e-06, 75%:  3.9372e-04, 90%:  1.5579e-03, 95%:  4.3733e-02, 99%:  1.6526e-01
48:  5.6152%, max:  4.2218e-01, min:  0.0000e+00, mean:  4.5986e-03, non_zero_mean:  6.8133e-03, 50%:  1.8477e-06, 75%:  3.3336e-04, 90%:  1.1265e-03, 95%:  2.0291e-02, 99%:  1.1950e-01
49:  5.6641%, max:  4.1836e-01, min:  0.0000e+00, mean:  4.3496e-03, non_zero_mean:  6.4766e-03, 50%:  1.8179e-06, 75%:  3.3306e-04, 90%:  1.1533e-03, 95%:  2.0281e-02, 99%:  1.1689e-01
50:  6.7566%, max:  3.9920e-01, min:  0.0000e+00, mean:  5.6099e-03, non_zero_mean:  8.2297e-03, 50%:  1.9353e-06, 75%:  3.4026e-04, 90%:  1.4447e-03, 95%:  3.8936e-02, 99%:  1.3375e-01
51:  7.9895%, max:  4.5858e-01, min:  0.0000e+00, mean:  6.1261e-03, non_zero_mean:  8.6197e-03, 50%:  2.2054e-06, 75%:  4.0172e-04, 90%:  2.0527e-03, 95%:  4.6413e-02, 99%:  1.3109e-01
52:  9.9121%, max:  3.9383e-01, min:  0.0000e+00, mean:  8.2917e-03, non_zero_mean:  1.1528e-02, 50%:  2.4438e-06, 75%:  4.7686e-04, 90%:  9.1002e-03, 95%:  6.3165e-02, 99%:  1.5814e-01
53:  9.6741%, max:  5.1799e-01, min:  0.0000e+00, mean:  7.8216e-03, non_zero_mean:  1.0737e-02, 50%:  2.5779e-06, 75%:  4.9710e-04, 90%:  5.3365e-03, 95%:  6.3145e-02, 99%:  1.4494e-01
54:  8.2703%, max:  4.4863e-01, min:  0.0000e+00, mean:  6.8169e-03, non_zero_mean:  9.7746e-03, 50%:  2.0862e-06, 75%:  3.9246e-04, 90%:  1.8412e-03, 95%:  5.5028e-02, 99%:  1.3758e-01
55:  9.0759%, max:  4.9718e-01, min:  0.0000e+00, mean:  8.0511e-03, non_zero_mean:  1.1170e-02, 50%:  2.4289e-06, 75%:  4.3466e-04, 90%:  2.3856e-03, 95%:  6.8386e-02, 99%:  1.5778e-01
56:  9.5581%, max:  4.6699e-01, min:  0.0000e+00, mean:  8.7529e-03, non_zero_mean:  1.1939e-02, 50%:  2.6673e-06, 75%:  4.7704e-04, 90%:  4.2999e-03, 95%:  7.1908e-02, 99%:  1.6576e-01
57:  9.1553%, max:  4.6384e-01, min:  0.0000e+00, mean:  7.8871e-03, non_zero_mean:  1.1112e-02, 50%:  2.3544e-06, 75%:  4.6150e-04, 90%:  2.4741e-03, 95%:  6.6712e-02, 99%:  1.4753e-01
58:  9.7473%, max:  4.5152e-01, min:  0.0000e+00, mean:  8.6340e-03, non_zero_mean:  1.2004e-02, 50%:  2.4289e-06, 75%:  4.6820e-04, 90%:  5.6891e-03, 95%:  7.6456e-02, 99%:  1.5718e-01
59:  11.1694%, max:  4.8313e-01, min:  0.0000e+00, mean:  9.9098e-03, non_zero_mean:  1.3499e-02, 50%:  2.6226e-06, 75%:  4.7789e-04, 90%:  2.4016e-02, 95%:  8.4301e-02, 99%:  1.6557e-01
60:  10.8337%, max:  4.1913e-01, min:  0.0000e+00, mean:  1.0033e-02, non_zero_mean:  1.3734e-02, 50%:  2.6226e-06, 75%:  4.9774e-04, 90%:  2.2662e-02, 95%:  8.7636e-02, 99%:  1.6594e-01
61:  10.3760%, max:  4.2261e-01, min:  0.0000e+00, mean:  9.7969e-03, non_zero_mean:  1.3112e-02, 50%:  2.6822e-06, 75%:  4.7641e-04, 90%:  1.5920e-02, 95%:  8.7973e-02, 99%:  1.6570e-01
62:  12.6404%, max:  4.6099e-01, min:  0.0000e+00, mean:  1.3794e-02, non_zero_mean:  1.7979e-02, 50%:  3.0994e-06, 75%:  5.2649e-04, 90%:  5.1535e-02, 95%:  1.2132e-01, 99%:  1.9951e-01
63:  11.5662%, max:  4.3407e-01, min:  0.0000e+00, mean:  1.2494e-02, non_zero_mean:  1.6573e-02, 50%:  2.8610e-06, 75%:  4.9829e-04, 90%:  3.4237e-02, 95%:  1.1179e-01, 99%:  1.8971e-01
64:  12.6892%, max:  4.3680e-01, min:  0.0000e+00, mean:  1.3089e-02, non_zero_mean:  1.7048e-02, 50%:  3.0138e-06, 75%:  5.1624e-04, 90%:  5.0171e-02, 95%:  1.1310e-01, 99%:  1.8696e-01
65:  12.9150%, max:  5.2045e-01, min:  0.0000e+00, mean:  1.3336e-02, non_zero_mean:  1.7297e-02, 50%:  3.2932e-06, 75%:  5.3233e-04, 90%:  5.1591e-02, 95%:  1.1181e-01, 99%:  1.8886e-01
66:  13.0188%, max:  4.3295e-01, min:  0.0000e+00, mean:  1.3065e-02, non_zero_mean:  1.7217e-02, 50%:  2.8610e-06, 75%:  4.9997e-04, 90%:  4.7686e-02, 95%:  1.1290e-01, 99%:  1.9069e-01
67:  12.8235%, max:  4.0404e-01, min:  0.0000e+00, mean:  1.2568e-02, non_zero_mean:  1.6736e-02, 50%:  2.7609e-06, 75%:  4.8998e-04, 90%:  4.5512e-02, 95%:  1.0608e-01, 99%:  1.8205e-01
68:  13.3362%, max:  4.2818e-01, min:  0.0000e+00, mean:  1.2864e-02, non_zero_mean:  1.7446e-02, 50%:  2.5630e-06, 75%:  4.8297e-04, 90%:  4.9647e-02, 95%:  1.0672e-01, 99%:  1.8286e-01
69:  13.2507%, max:  4.7922e-01, min:  0.0000e+00, mean:  1.2553e-02, non_zero_mean:  1.7151e-02, 50%:  2.4214e-06, 75%:  4.8000e-04, 90%:  5.0340e-02, 95%:  1.0405e-01, 99%:  1.7799e-01
70:  13.0676%, max:  4.8945e-01, min:  0.0000e+00, mean:  1.1859e-02, non_zero_mean:  1.6292e-02, 50%:  2.4387e-06, 75%:  4.7944e-04, 90%:  4.5653e-02, 95%:  9.8370e-02, 99%:  1.7265e-01
71:  12.3535%, max:  3.4857e-01, min:  0.0000e+00, mean:  1.1609e-02, non_zero_mean:  1.6118e-02, 50%:  2.3246e-06, 75%:  4.7633e-04, 90%:  3.8376e-02, 95%:  1.0115e-01, 99%:  1.7572e-01
72:  12.3718%, max:  3.4735e-01, min:  0.0000e+00, mean:  1.2279e-02, non_zero_mean:  1.6972e-02, 50%:  2.4289e-06, 75%:  4.1598e-04, 90%:  4.4724e-02, 95%:  1.0754e-01, 99%:  1.8164e-01
73:  13.3362%, max:  3.7973e-01, min:  0.0000e+00, mean:  1.4747e-02, non_zero_mean:  2.0539e-02, 50%:  2.3842e-06, 75%:  4.9595e-04, 90%:  5.6484e-02, 95%:  1.2626e-01, 99%:  2.0953e-01
74:  12.0728%, max:  4.0407e-01, min:  0.0000e+00, mean:  1.4033e-02, non_zero_mean:  1.9844e-02, 50%:  2.2650e-06, 75%:  4.5796e-04, 90%:  4.6034e-02, 95%:  1.2121e-01, 99%:  2.1300e-01
75:  12.4634%, max:  4.1779e-01, min:  0.0000e+00, mean:  1.3918e-02, non_zero_mean:  1.9641e-02, 50%:  2.2054e-06, 75%:  4.4624e-04, 90%:  4.9471e-02, 95%:  1.2328e-01, 99%:  2.0242e-01
