Start to record CBF use ratio, in 2025.12.30 21: 20: 27

58:  3.7781%, max:  4.4285e-01, min:  0.0000e+00, mean:  7.9391e-03, non_zero_mean:  7.9484e-03, 50%:  1.5665e-03, 75%:  2.1658e-03, 90%:  2.8094e-03, 95%:  3.3125e-03, 99%:  2.3243e-01
59:  3.8452%, max:  4.5437e-01, min:  0.0000e+00, mean:  7.9586e-03, non_zero_mean:  7.9659e-03, 50%:  1.5740e-03, 75%:  2.1705e-03, 90%:  2.8262e-03, 95%:  3.3193e-03, 99%:  2.3122e-01
60:  4.2297%, max:  4.7236e-01, min:  0.0000e+00, mean:  9.0677e-03, non_zero_mean:  9.0794e-03, 50%:  1.5416e-03, 75%:  2.0961e-03, 90%:  2.7525e-03, 95%:  3.3188e-03, 99%:  2.5190e-01
61:  3.8086%, max:  4.7940e-01, min:  0.0000e+00, mean:  8.7054e-03, non_zero_mean:  8.7155e-03, 50%:  1.6049e-03, 75%:  2.2123e-03, 90%:  2.8539e-03, 95%:  3.2973e-03, 99%:  2.5546e-01
62:  4.6875%, max:  4.7665e-01, min:  1.1921e-07, mean:  1.0330e-02, non_zero_mean:  1.0340e-02, 50%:  1.5912e-03, 75%:  2.1911e-03, 90%:  2.8683e-03, 95%:  3.5615e-03, 99%:  2.6037e-01
63:  3.9795%, max:  5.0770e-01, min:  5.9605e-08, mean:  8.1385e-03, non_zero_mean:  8.1504e-03, 50%:  1.5563e-03, 75%:  2.1325e-03, 90%:  2.7781e-03, 95%:  3.2563e-03, 99%:  2.3366e-01
64:  4.9805%, max:  4.4223e-01, min:  1.1921e-07, mean:  1.0079e-02, non_zero_mean:  1.0091e-02, 50%:  1.5618e-03, 75%:  2.1724e-03, 90%:  2.8984e-03, 95%:  8.6714e-03, 99%:  2.4775e-01
65:  3.5706%, max:  4.8441e-01, min:  0.0000e+00, mean:  7.8641e-03, non_zero_mean:  7.8781e-03, 50%:  1.5071e-03, 75%:  2.0731e-03, 90%:  2.6869e-03, 95%:  3.1397e-03, 99%:  2.3723e-01
66:  3.3142%, max:  4.3787e-01, min:  8.9232e-08, mean:  7.0063e-03, non_zero_mean:  7.0131e-03, 50%:  1.5100e-03, 75%:  2.0699e-03, 90%:  2.6850e-03, 95%:  3.0948e-03, 99%:  2.3052e-01
67:  4.1870%, max:  4.7579e-01, min:  0.0000e+00, mean:  8.9649e-03, non_zero_mean:  8.9737e-03, 50%:  1.5864e-03, 75%:  2.1715e-03, 90%:  2.8628e-03, 95%:  3.3468e-03, 99%:  2.4246e-01
68:  4.4495%, max:  4.4723e-01, min:  0.0000e+00, mean:  9.4129e-03, non_zero_mean:  9.4244e-03, 50%:  1.5736e-03, 75%:  2.1303e-03, 90%:  2.7650e-03, 95%:  3.3206e-03, 99%:  2.4209e-01
69:  3.6377%, max:  4.1936e-01, min:  0.0000e+00, mean:  7.7462e-03, non_zero_mean:  7.7551e-03, 50%:  1.5959e-03, 75%:  2.1553e-03, 90%:  2.7851e-03, 95%:  3.1558e-03, 99%:  2.2688e-01
70:  4.6631%, max:  4.9868e-01, min:  0.0000e+00, mean:  9.1016e-03, non_zero_mean:  9.1133e-03, 50%:  1.5285e-03, 75%:  2.0909e-03, 90%:  2.7424e-03, 95%:  3.4185e-03, 99%:  2.4303e-01
71:  5.2429%, max:  4.7511e-01, min:  0.0000e+00, mean:  1.0804e-02, non_zero_mean:  1.0823e-02, 50%:  1.5476e-03, 75%:  2.0932e-03, 90%:  2.7727e-03, 95%:  2.5315e-02, 99%:  2.5406e-01
72:  5.0659%, max:  5.0602e-01, min:  0.0000e+00, mean:  1.0371e-02, non_zero_mean:  1.0381e-02, 50%:  1.5609e-03, 75%:  2.1073e-03, 90%:  2.7452e-03, 95%:  1.5288e-02, 99%:  2.5418e-01
73:  5.2917%, max:  4.5966e-01, min:  0.0000e+00, mean:  1.0578e-02, non_zero_mean:  1.0583e-02, 50%:  1.5458e-03, 75%:  2.1038e-03, 90%:  2.7916e-03, 95%:  2.4922e-02, 99%:  2.5133e-01
74:  6.5002%, max:  4.3494e-01, min:  0.0000e+00, mean:  1.2916e-02, non_zero_mean:  1.2935e-02, 50%:  1.5820e-03, 75%:  2.1746e-03, 90%:  2.9050e-03, 95%:  1.1053e-01, 99%:  2.5162e-01
75:  5.2734%, max:  5.0691e-01, min:  0.0000e+00, mean:  1.0701e-02, non_zero_mean:  1.0715e-02, 50%:  1.5679e-03, 75%:  2.1364e-03, 90%:  2.8235e-03, 95%:  2.7336e-02, 99%:  2.4977e-01
76:  5.4871%, max:  4.9691e-01, min:  0.0000e+00, mean:  1.1108e-02, non_zero_mean:  1.1125e-02, 50%:  1.5683e-03, 75%:  2.1731e-03, 90%:  2.8575e-03, 95%:  4.8099e-02, 99%:  2.5551e-01
77:  7.3486%, max:  5.1041e-01, min:  0.0000e+00, mean:  1.4144e-02, non_zero_mean:  1.4162e-02, 50%:  1.6211e-03, 75%:  2.2486e-03, 90%:  3.0297e-03, 95%:  1.2873e-01, 99%:  2.5975e-01
78:  4.5227%, max:  4.3724e-01, min:  0.0000e+00, mean:  9.3554e-03, non_zero_mean:  9.3645e-03, 50%:  1.5323e-03, 75%:  2.1007e-03, 90%:  2.7404e-03, 95%:  3.3319e-03, 99%:  2.4436e-01
79:  5.7190%, max:  4.9790e-01, min:  4.6566e-09, mean:  1.1160e-02, non_zero_mean:  1.1180e-02, 50%:  1.5064e-03, 75%:  2.0838e-03, 90%:  2.8083e-03, 95%:  5.4880e-02, 99%:  2.5215e-01
80:  5.8655%, max:  4.2274e-01, min:  0.0000e+00, mean:  1.1630e-02, non_zero_mean:  1.1649e-02, 50%:  1.5486e-03, 75%:  2.1442e-03, 90%:  2.8777e-03, 95%:  6.8323e-02, 99%:  2.5007e-01
81:  6.1646%, max:  4.6517e-01, min:  0.0000e+00, mean:  1.1764e-02, non_zero_mean:  1.1774e-02, 50%:  1.5390e-03, 75%:  2.1382e-03, 90%:  2.8779e-03, 95%:  7.4962e-02, 99%:  2.4843e-01
82:  6.3660%, max:  4.5285e-01, min:  0.0000e+00, mean:  1.2281e-02, non_zero_mean:  1.2292e-02, 50%:  1.5540e-03, 75%:  2.1833e-03, 90%:  2.9266e-03, 95%:  8.9563e-02, 99%:  2.4956e-01
83:  5.4810%, max:  4.1980e-01, min:  0.0000e+00, mean:  1.0470e-02, non_zero_mean:  1.0489e-02, 50%:  1.5364e-03, 75%:  2.1088e-03, 90%:  2.8100e-03, 95%:  3.9810e-02, 99%:  2.3743e-01
84:  6.2805%, max:  4.5547e-01, min:  2.9802e-08, mean:  1.2146e-02, non_zero_mean:  1.2165e-02, 50%:  1.5192e-03, 75%:  2.1476e-03, 90%:  2.9049e-03, 95%:  9.0682e-02, 99%:  2.4343e-01
85:  5.8105%, max:  4.1123e-01, min:  0.0000e+00, mean:  1.1195e-02, non_zero_mean:  1.1208e-02, 50%:  1.5585e-03, 75%:  2.1461e-03, 90%:  2.8455e-03, 95%:  6.1533e-02, 99%:  2.4633e-01
86:  7.2815%, max:  4.8522e-01, min:  0.0000e+00, mean:  1.3991e-02, non_zero_mean:  1.4006e-02, 50%:  1.5586e-03, 75%:  2.2035e-03, 90%:  2.9883e-03, 95%:  1.3284e-01, 99%:  2.5526e-01
87:  5.3040%, max:  4.5790e-01, min:  0.0000e+00, mean:  1.0365e-02, non_zero_mean:  1.0383e-02, 50%:  1.5169e-03, 75%:  2.0882e-03, 90%:  2.7849e-03, 95%:  3.0013e-02, 99%:  2.4942e-01
88:  4.8950%, max:  5.1048e-01, min:  0.0000e+00, mean:  9.9712e-03, non_zero_mean:  9.9889e-03, 50%:  1.4618e-03, 75%:  2.0834e-03, 90%:  2.7705e-03, 95%:  3.7230e-03, 99%:  2.4721e-01
89:  4.8157%, max:  4.5129e-01, min:  1.1921e-07, mean:  1.0017e-02, non_zero_mean:  1.0026e-02, 50%:  1.5150e-03, 75%:  2.1073e-03, 90%:  2.7586e-03, 95%:  3.5791e-03, 99%:  2.4845e-01
90:  5.0903%, max:  3.8156e-01, min:  1.1921e-07, mean:  1.0341e-02, non_zero_mean:  1.0352e-02, 50%:  1.5148e-03, 75%:  2.1494e-03, 90%:  2.8304e-03, 95%:  1.7991e-02, 99%:  2.5129e-01
